,month,D1_2011,D1_2022
0,01,57.557500000000005,83.765
1,02,59.504999999999995,79.6375
2,03,84.314,87.664
3,04,98.9825,85.47
4,05,97.098,79.644
5,06,96.115,81.5875
6,07,97.37333333333333,91.79333333333334
7,12,69.44,67.27
