,D0,D1,D2,D3,D4,month
0,100.0,98.96,95.78,91.19,75.16,July
1,100.0,97.43,95.78,90.97,71.66,July
2,97.59,95.73,94.39,90.21,71.3,July
3,97.32,95.71,94.52,90.62,72.32,June
4,96.67,95.71,94.52,91.31,70.61,June
5,98.02,96.52,94.76,88.56,64.78,June
6,98.02,96.52,94.04,85.41,57.83,June
7,97.75,96.07,91.89,81.09,50.65,May
8,97.7,95.77,91.97,78.48,43.97,May
9,100.0,97.01,92.4,80.01,47.87,May
10,100.0,97.78,93.88,82.06,47.55,May
11,100.0,98.86,93.99,73.74,25.96,May
12,100.0,100.0,94.97,70.42,17.16,April
13,100.0,100.0,91.52,67.97,14.99,April
14,100.0,97.94,86.44,60.58,10.03,April
15,100.0,97.99,86.5,60.15,4.82,April
16,100.0,94.87,78.54,43.07,0.0,March
17,98.3,92.05,64.06,28.98,0.0,March
18,96.77,83.75,56.99,17.13,0.0,March
19,91.69,77.99,53.64,14.16,0.0,March
20,95.01,72.91,46.35,12.72,0.0,March
21,94.92,69.75,45.25,12.64,0.0,February
22,87.48,58.12,37.35,7.78,0.0,February
23,84.28,57.15,37.35,7.78,0.0,February
24,80.53,53.0,35.11,6.93,0.0,February
25,80.53,53.0,31.56,8.66,0.0,January
26,76.72,51.42,25.62,7.3,0.0,January
27,79.84,59.13,25.37,9.48,0.0,January
28,86.46,66.68,36.3,13.04,0.0,January
29,92.11,69.44,37.46,9.59,0.0,December
