,month,D0_2011,D0_2022
0,01,80.8875,95.4925
1,02,86.80250000000001,90.4075
2,03,96.354,95.304
3,04,100.0,95.525
4,05,99.09,88.806
5,06,97.5075,92.235
6,07,99.19666666666667,98.64999999999999
7,12,92.11,86.98
